,clusters
0,"frozenset({('mail_followers_id', '6194'), ('purchase_line_id', '1010.0'), ('date_done', '2022-08-03 10:17:13'), ('mail_mail_id', '4456.0'), ('invoice_id', '252'), ('mail_mail_id', '4457'), ('parent_id', '21110'), ('purchase_order_line_id', 1010.0), ('mail_followers_id', '6219'), ('attachment_id', '6257'), ('ir_attachment_id', 6256.0), ('purchase_order_line_id', 1013.0), ('mail_followers_id', '6193'), ('stock_move_id', 280.0), ('res_name', 'PO00998'), ('parent_id', '21029'), ('date_expected', '2022-08-03 05:37:50.209211'), ('attachment_id', '6256'), ('purchase_order_id', 998.0), ('move_name', 'INV/2022/0144'), ('sale_order_line_id', 407.0), ('new_value_datetime', '2022-08-03 10:16:35'), ('parent_id', '21136'), ('mail_mail_id', '4467'), ('number', 'INV/2022/0144'), ('purchase_requisition_line_id', 346.0), ('scheduled_date', '2022-08-03 10:17:08'), ('account_invoice_line_id', 256.0), ('account_invoice_id', '252'), ('purchase_order_line_id', 1012.0), ('ref', 'INV/2022/0144/47'), ('mail_mail_id', '4457.0'), ('invoice_id', '252.0'), ('res_name', 'PO00999'), ('ir_attachment_id', 6267.0), ('purchase_line_id', '1010'), ('mail_mail_id', '4467.0'), ('sale_order_id', 383.0), ('origin', 'PO00999'), ('date_order', '2022-08-03 10:16:35'), ('purchase_requisition_id', 346.0), ('mail_followers_id', '6195'), ('mail_mail_id', '4456'), ('account_move_line_id', 545.0), ('scheduled_date', '2022-08-03 05:37:50.209211'), ('mail_followers_id', '6218'), ('date_planned', '2022-08-03 05:37:50.209211'), ('parent_id', '21028'), ('ir_attachment_id', 6257.0), ('mail_followers_id', '6213'), ('mail_followers_id', '6190'), ('account_move_id', 270.0), ('purchase_order_line_id', 1014.0), ('account_invoice_id', '252.0'), ('attachment_id', '6267'), ('date_order', '2022-08-03 10:16:26'), ('group_id', '246'), ('purchase_order_id', 999.0), ('new_value_datetime', '2022-08-03 10:17:08'), ('date_planned', '2022-08-03 10:16:35'), ('stock_move_line_id', 271.0), ('account_move_line_id', 544.0)})"
1,"frozenset({('new_value_datetime', '2022-08-03 10:16:59'), ('date_planned', '2022-08-03 05:37:47.146697'), ('origin', 'PO01001'), ('mail_followers_id', '6189'), ('mail_followers_id', '6214'), ('group_id', '245'), ('ir_attachment_id', 6259.0), ('invoice_id', '251.0'), ('ir_attachment_id', 6265.0), ('account_move_id', 269.0), ('purchase_order_id', 1001.0), ('ref', 'INV/2022/0143/46'), ('stock_move_line_id', 270.0), ('account_move_line_id', 543.0), ('mail_followers_id', '6198'), ('invoice_id', '251'), ('move_name', 'INV/2022/0143'), ('mail_mail_id', '4459'), ('mail_mail_id', '4465'), ('purchase_order_line_id', 1009.0), ('number', 'INV/2022/0143'), ('parent_id', '21044'), ('attachment_id', '6259'), ('account_invoice_id', '251.0'), ('date_expected', '2022-08-03 05:37:47.146697'), ('scheduled_date', '2022-08-03 10:16:59'), ('purchase_line_id', '1011'), ('purchase_order_id', 1000.0), ('stock_move_id', 279.0), ('parent_id', '21095'), ('attachment_id', '6260'), ('account_move_line_id', 542.0), ('date_done', '2022-08-03 10:17:06'), ('attachment_id', '6265'), ('date_order', '2022-08-03 10:16:39'), ('parent_id', '21043'), ('purchase_requisition_line_id', 345.0), ('account_invoice_line_id', 255.0), ('account_invoice_id', '251'), ('parent_id', '21123'), ('mail_followers_id', '6197'), ('purchase_order_line_id', 1008.0), ('mail_followers_id', '6212'), ('purchase_order_line_id', 1011.0), ('res_name', 'PO001001'), ('mail_mail_id', '4465.0'), ('ir_attachment_id', 6260.0), ('res_name', 'PO01000'), ('mail_mail_id', '4459.0'), ('origin', 'PO001001'), ('mail_followers_id', '6215'), ('purchase_line_id', '1011.0'), ('mail_mail_id', '4460.0'), ('purchase_requisition_id', 345.0), ('scheduled_date', '2022-08-03 05:37:47.146697'), ('date_planned', '2022-08-03 10:16:39'), ('res_name', 'PO01001'), ('mail_mail_id', '4460')})"
2,"frozenset({('purchase_requisition_line_id', 347.0), ('mail_followers_id', '6196'), ('account_invoice_line_id', 257.0), ('attachment_id', '6268'), ('group_id', '247'), ('account_invoice_id', '253'), ('purchase_order_line_id', 1016.0), ('parent_id', '21140'), ('mail_followers_id', '6206'), ('ir_attachment_id', 6268.0), ('account_move_line_id', 547.0), ('new_value_datetime', '2022-08-03 10:16:53'), ('sale_order_id', 384.0), ('res_name', 'PO001004'), ('mail_followers_id', '6221'), ('purchase_requisition_id', 347.0), ('purchase_order_id', 1004.0), ('purchase_line_id', '1015.0'), ('account_move_line_id', 546.0), ('origin', 'PO001004'), ('mail_mail_id', '4468'), ('date_expected', '2022-08-03 05:38:08.887529'), ('ref', 'INV/2022/0145/48'), ('purchase_order_line_id', 1015.0), ('new_value_datetime', '2022-08-03 10:17:15'), ('account_move_id', 271.0), ('invoice_id', '253.0'), ('mail_followers_id', '6204'), ('date_order', '2022-08-03 10:16:53'), ('date_order', '2022-08-03 10:16:36'), ('res_name', 'PO01004'), ('mail_mail_id', '4463'), ('attachment_id', '6263'), ('move_name', 'INV/2022/0145'), ('mail_followers_id', '6222'), ('number', 'INV/2022/0145'), ('stock_move_line_id', 272.0), ('mail_mail_id', '4468.0'), ('origin', 'PO01004'), ('parent_id', '21127'), ('purchase_line_id', '1015'), ('parent_id', '21079'), ('invoice_id', '253'), ('purchase_order_line_id', 1017.0), ('account_invoice_id', '253.0'), ('ir_attachment_id', 6263.0), ('date_done', '2022-08-03 10:17:24'), ('scheduled_date', '2022-08-03 05:38:08.887529'), ('date_planned', '2022-08-03 10:16:53'), ('sale_order_line_id', 408.0), ('date_planned', '2022-08-03 05:38:08.887529'), ('stock_move_id', 281.0), ('mail_followers_id', '6217'), ('scheduled_date', '2022-08-03 10:17:15'), ('mail_mail_id', '4463.0')})"
3,"frozenset({('ref', 'INV/2022/0142/45'), ('mail_mail_id', '4458'), ('account_invoice_line_id', 254.0), ('purchase_order_line_id', 1004.0), ('scheduled_date', '2022-08-03 05:37:25.549102'), ('mail_mail_id', '4452'), ('group_id', '244'), ('account_invoice_id', '250.0'), ('account_invoice_id', '250'), ('parent_id', '20988'), ('move_name', 'INV/2022/0142'), ('number', 'INV/2022/0142'), ('res_name', 'PO00995'), ('sale_order_line_id', 404.0), ('purchase_order_id', 995.0), ('date_planned', '2022-08-03 05:37:25.549102'), ('new_value_datetime', '2022-08-03 10:16:16'), ('account_move_line_id', 540.0), ('origin', 'PO00995'), ('mail_followers_id', '6183'), ('new_value_datetime', '2022-08-03 10:16:39'), ('purchase_requisition_line_id', 343.0), ('purchase_order_line_id', 1003.0), ('purchase_order_line_id', 1006.0), ('mail_followers_id', '6166'), ('ir_attachment_id', 6252.0), ('ir_attachment_id', 6258.0), ('account_move_id', 268.0), ('mail_followers_id', '6199'), ('purchase_line_id', '1006.0'), ('sale_order_id', 380.0), ('sale_order_line_id', 406.0), ('date_order', '2022-08-03 10:16:16'), ('purchase_requisition_id', 343.0), ('attachment_id', '6252'), ('invoice_id', '250'), ('parent_id', '21082'), ('stock_move_line_id', 269.0), ('date_done', '2022-08-03 10:16:45'), ('date_expected', '2022-08-03 05:37:25.549102'), ('attachment_id', '6258'), ('date_order', '2022-08-03 10:15:56'), ('invoice_id', '250.0'), ('purchase_line_id', '1006'), ('scheduled_date', '2022-08-03 10:16:39'), ('mail_followers_id', '6208'), ('date_planned', '2022-08-03 10:16:16'), ('mail_followers_id', '6184'), ('mail_mail_id', '4452.0'), ('stock_move_id', 278.0), ('sale_order_id', 382.0), ('account_move_line_id', 541.0), ('parent_id', '21050'), ('mail_followers_id', '6207'), ('mail_mail_id', '4458.0')})"
4,"frozenset({('ir_attachment_id', 6235.0), ('ir_attachment_id', 6241.0), ('origin', 'PO00982'), ('invoice_id', '246'), ('group_id', '240'), ('mail_followers_id', '6151'), ('attachment_id', '6236'), ('mail_followers_id', '6174'), ('mail_mail_id', '4435'), ('date_expected', '2022-08-03 05:36:40.490444'), ('scheduled_date', '2022-08-03 10:15:51'), ('stock_move_id', 274.0), ('date_planned', '2022-08-03 10:15:27'), ('mail_followers_id', '6173'), ('attachment_id', '6241'), ('mail_mail_id', '4441'), ('account_invoice_line_id', 250.0), ('res_name', 'PO00981'), ('account_invoice_id', '246'), ('parent_id', '20898'), ('purchase_line_id', '993'), ('date_done', '2022-08-03 10:15:59'), ('purchase_order_id', 982.0), ('invoice_id', '246.0'), ('mail_mail_id', '4441.0'), ('scheduled_date', '2022-08-03 05:36:40.490444'), ('account_move_line_id', 533.0), ('new_value_datetime', '2022-08-03 10:15:27'), ('mail_followers_id', '6152'), ('ir_attachment_id', 6236.0), ('purchase_order_line_id', 993.0), ('new_value_datetime', '2022-08-03 10:15:51'), ('move_name', 'INV/2022/0138'), ('parent_id', '20855'), ('number', 'INV/2022/0138'), ('attachment_id', '6235'), ('parent_id', '20851'), ('purchase_order_id', 981.0), ('account_move_id', 264.0), ('ref', 'INV/2022/0138/41'), ('parent_id', '20958'), ('account_invoice_id', '246.0'), ('mail_mail_id', '4436.0'), ('mail_mail_id', '4435.0'), ('account_move_line_id', 532.0), ('mail_followers_id', '6163'), ('date_order', '2022-08-03 10:15:27'), ('res_name', 'PO00982'), ('stock_move_line_id', 265.0), ('purchase_line_id', '993.0'), ('mail_mail_id', '4436')})"
5,"frozenset({('ref', 'INV/2022/0141/44'), ('date_planned', '2022-08-03 05:37:11.990452'), ('res_name', 'PO00991'), ('purchase_line_id', '1002.0'), ('purchase_order_line_id', 1001.0), ('attachment_id', '6254'), ('purchase_line_id', '1002'), ('origin', 'PO00991'), ('account_invoice_id', '249.0'), ('move_name', 'INV/2022/0141'), ('mail_mail_id', '4448.0'), ('date_order', '2022-08-03 10:15:45'), ('mail_followers_id', '6162'), ('number', 'INV/2022/0141'), ('attachment_id', '6248'), ('stock_move_id', 277.0), ('group_id', '243'), ('scheduled_date', '2022-08-03 10:16:28'), ('account_invoice_line_id', 253.0), ('parent_id', '21010'), ('invoice_id', '249'), ('mail_mail_id', '4448'), ('mail_mail_id', '4454.0'), ('date_expected', '2022-08-03 05:37:11.990452'), ('account_move_line_id', 538.0), ('sale_order_line_id', 403.0), ('purchase_order_id', 991.0), ('mail_followers_id', '6160'), ('account_move_line_id', 539.0), ('purchase_requisition_line_id', 342.0), ('ir_attachment_id', 6248.0), ('purchase_order_line_id', 1002.0), ('account_invoice_id', '249'), ('date_order', '2022-08-03 10:16:01'), ('parent_id', '20940'), ('ir_attachment_id', 6254.0), ('invoice_id', '249.0'), ('mail_followers_id', '6191'), ('parent_id', '21059'), ('mail_mail_id', '4454'), ('mail_followers_id', '6202'), ('account_move_id', 267.0), ('new_value_datetime', '2022-08-03 10:16:28'), ('purchase_requisition_id', 342.0), ('sale_order_id', 379.0), ('mail_followers_id', '6200'), ('mail_followers_id', '6171'), ('stock_move_line_id', 268.0), ('scheduled_date', '2022-08-03 05:37:11.990452')})"
6,"frozenset({('new_value_datetime', '2022-08-03 10:15:38'), ('purchase_line_id', '996.0'), ('invoice_id', '247.0'), ('account_invoice_line_id', 251.0), ('purchase_line_id', '996'), ('parent_id', '20979'), ('mail_followers_id', '6180'), ('group_id', '241'), ('mail_followers_id', '6157'), ('account_move_line_id', 534.0), ('scheduled_date', '2022-08-03 05:36:54.900525'), ('attachment_id', '6239'), ('ref', 'INV/2022/0139/42'), ('invoice_id', '247'), ('date_order', '2022-08-03 10:15:38'), ('account_invoice_id', '247.0'), ('ir_attachment_id', 6246.0), ('new_value_datetime', '2022-08-03 10:16:01'), ('account_move_id', 265.0), ('purchase_order_id', 985.0), ('mail_followers_id', '6169'), ('stock_move_line_id', 266.0), ('account_invoice_id', '247'), ('mail_mail_id', '4439.0'), ('purchase_order_line_id', 996.0), ('date_planned', '2022-08-03 10:15:38'), ('ir_attachment_id', 6239.0), ('mail_mail_id', '4439'), ('mail_followers_id', '6179'), ('date_done', '2022-08-03 10:16:08'), ('move_name', 'INV/2022/0139'), ('number', 'INV/2022/0139'), ('date_expected', '2022-08-03 05:36:54.900525'), ('res_name', 'PO00985'), ('stock_move_id', 275.0), ('account_move_line_id', 535.0), ('mail_mail_id', '4446'), ('parent_id', '20875'), ('scheduled_date', '2022-08-03 10:16:01'), ('origin', 'PO00985')})"
7,"frozenset({('attachment_id', '6233'), ('ref', 'INV/2022/0140/43'), ('ir_attachment_id', 6247.0), ('group_id', '242'), ('account_move_id', 266.0), ('account_invoice_id', '248'), ('account_move_line_id', 537.0), ('account_invoice_id', '248.0'), ('date_order', '2022-08-03 10:15:23'), ('mail_followers_id', '6170'), ('stock_move_line_id', 267.0), ('move_name', 'INV/2022/0140'), ('number', 'INV/2022/0140'), ('mail_mail_id', '4433.0'), ('date_expected', '2022-08-03 05:36:34.400530'), ('purchase_order_id', 979.0), ('mail_followers_id', '6187'), ('mail_mail_id', '4433'), ('stock_move_id', 276.0), ('account_move_line_id', 536.0), ('date_planned', '2022-08-03 10:15:23'), ('mail_mail_id', '4447.0'), ('mail_mail_id', '4447'), ('purchase_order_line_id', 990.0), ('ir_attachment_id', 6233.0), ('purchase_line_id', '990.0'), ('res_name', 'PO00979'), ('account_invoice_line_id', 252.0), ('purchase_line_id', '990'), ('parent_id', '20993'), ('invoice_id', '248'), ('origin', 'PO00979'), ('parent_id', '20842'), ('mail_followers_id', '6148'), ('attachment_id', '6247'), ('scheduled_date', '2022-08-03 05:36:34.400530'), ('mail_followers_id', '6185'), ('new_value_datetime', '2022-08-03 10:15:23'), ('invoice_id', '248.0')})"
8,"frozenset({('mail_mail_id', '4437.0'), ('attachment_id', '6237'), ('mail_mail_id', '4438.0'), ('purchase_order_id', 983.0), ('parent_id', '20859'), ('res_name', 'PO00983'), ('parent_id', '20863'), ('date_planned', '2022-08-03 10:15:30'), ('attachment_id', '6238'), ('purchase_order_id', 984.0), ('mail_followers_id', '6153'), ('ir_attachment_id', 6237.0), ('mail_followers_id', '6154'), ('res_name', 'PO00984'), ('mail_mail_id', '4437'), ('date_order', '2022-08-03 10:15:30'), ('mail_mail_id', '4438'), ('ir_attachment_id', 6238.0)})"
9,"frozenset({('purchase_order_line_id', 992.0), ('purchase_requisition_line_id', 338.0), ('purchase_order_line_id', 994.0), ('sale_order_line_id', 399.0), ('mail_followers_id', '6144'), ('mail_followers_id', '6143'), ('sale_order_id', 375.0), ('date_order', '2022-08-03 10:15:06'), ('date_planned', '2022-08-03 05:36:34.400530'), ('purchase_requisition_id', 338.0), ('purchase_order_line_id', 989.0)})"
