,0
FileName,object
BusinessActivity,object
InstanceNumber,int64
sniff_time,object
frame.number,int64
synthetic_sniff_time,object
synthetic_sniff_time_str,object
session_generalized,object
HighestLayerProtocol,object
MessageType_WithRole,object
MessageType,object
query_type,object
session_class,object
filter_flag,object
query,object
tables,object
event,object
event_with_roles,object
noise_event,object
real_activity,object
real_activity_action,object
real_case_id,float64
activities_with_bp,object
stream_index,int64
id,object
create_uid,object
create_date,object
write_uid,object
write_date,object
company_id,object
date_order,object
name,object
note,float64
partner_id,object
partner_invoice_id,object
partner_shipping_id,object
picking_policy,object
pricelist_id,object
require_payment,object
require_signature,object
state,object
team_id,object
user_id,object
validity_date,float64
warehouse_id,object
res_id,object
res_model,object
mail_followers_id,object
mail_message_subtype_id,object
currency_rate,object
amount_untaxed,object
amount_tax,object
amount_total,object
effective_date,float64
invoice_status,object
add_sign,object
author_id,object
body,object
date,object
email_from,object
message_id,object
message_type,object
model,object
no_auto_thread,object
record_name,object
reply_to,object
subject,object
subtype_id,object
field,object
field_desc,object
field_type,object
mail_message_id,object
new_value_char,object
new_value_integer,object
old_value_char,float64
old_value_integer,object
track_sequence,object
customer_lead,object
discount,object
display_type,float64
is_downpayment,object
is_expense,object
order_id,object
price_unit,object
product_id,object
product_packaging,float64
product_uom,object
product_uom_qty,object
qty_delivered,object
qty_delivered_manual,object
sequence,object
price_reduce,object
currency_id,object
salesman_id,object
qty_delivered_method,object
qty_invoiced,object
price_subtotal,object
price_tax,object
price_total,object
price_reduce_taxexcl,object
price_reduce_taxinc,object
qty_to_invoice,object
order_partner_id,object
untaxed_amount_invoiced,object
untaxed_amount_to_invoice,object
picking_type_id,object
type_id,object
product_qty,object
requisition_id,object
invoice_count,object
picking_count,object
date_planned,object
auto_delete,object
auto_delete_message,object
composition_mode,object
is_log,object
notify,object
parent_id,object
template_id,float64
use_active_domain,object
mail_activity_type_id,float64
mail_server_id,float64
body_html,object
email_cc,float64
email_to,float64
notification,object
scheduled_date,object
mail_mail_id,object
res_partner_id,object
active,object
datas_fname,object
mimetype,object
public,object
type,object
file_size,object
checksum,object
index_content,object
store_fname,object
db_datas,float64
res_model_name,object
res_name,object
attachment_id,object
sale_order_id,float64
date_approve,object
move_type,object
group_id,object
immediate_transfer,object
is_locked,object
location_dest_id,object
location_id,object
origin,object
printed,object
sale_id,float64
priority,object
new_value_datetime,object
old_value_datetime,float64
additional,object
date_expected,object
picking_id,object
procure_method,object
propagate,object
purchase_line_id,object
scrapped,object
to_refund,object
move_id,object
route_id,object
purchase_order_id,float64
stock_picking_id,object
reference,object
product_uom_id,object
qty_done,object
quantity,object
in_date,object
value,object
remaining_value,object
remaining_qty,object
qty_received,object
date_done,object
account_id,object
comment,float64
date_invoice,object
incoterm_id,float64
journal_id,object
move_name,object
payment_term_id,object
reconciled,object
sent,object
number,object
residual,object
residual_signed,object
residual_company_signed,object
amount_untaxed_signed,object
amount_total_signed,object
amount_total_company_signed,object
vendor_display_name,object
commercial_partner_id,object
invoice_id,object
is_rounding_line,object
account_invoice_id,object
price_subtotal_signed,object
date_due,object
auto_reverse,object
narration,float64
ref,object
amount_currency,object
analytic_account_id,float64
blocked,object
credit,object
date_maturity,object
debit,object
tax_exigible,object
tax_line_id,float64
balance,object
amount,object
tax_base_amount,object
amount_residual,object
amount_residual_currency,object
statement_id,float64
user_type_id,object
matched_percentage,object
debit_cash_basis,object
credit_cash_basis,object
balance_cash_basis,object
company_currency_id,object
ir_sequence_date_range_id,object
payment_date,object
payment_difference_handling,object
payment_method_id,object
payment_type,object
writeoff_label,object
delay,object
min_qty,object
price,object
product_tmpl_id,object
request_method_call,object
starting_frame_number,object
file_data,object
message_id_0,object
message_id_1,object
message_id_2,object
message_id_3,object
message_id_4,object
sale_order_line_id,float64
purchase_requisition_line_id,float64
purchase_requisition_id,float64
ir_attachment_id,float64
purchase_order_line_id,float64
stock_move_id,float64
stock_move_line_id,float64
stock_quant_id,float64
account_invoice_line_id,float64
account_move_line_id,float64
account_move_id,float64
product_template_id,float64
product_product_id,float64
purchase_id,float64
account_payment_id,float64
case_id,object
CaseIDVoting,object
